Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 95000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 33055000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33135000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33455000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33615000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33695000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33775000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33855000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 33935000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 34015000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 34095000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 34175000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 34255000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 34415000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34495000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34575000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34655000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34735000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34815000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34895000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 34975000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35055000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35135000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35455000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
